model,record_id,column,old_url,aws_key,status,error,replacement_url
Workshop,78,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1692721640/Affirmation_Hearts_Spanish.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,80,setup,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553544790/Women_Who_Run_With_the_Wolves_hi7td9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,80,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553544790/Women_Who_Run_With_the_Wolves_hi7td9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,80,opening_circle,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1553544790/Women_Who_Run_With_the_Wolves_hi7td9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,83,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1541529041/Journey_Butterflies-The_Butterfly.story.UPDATED_itkfoe.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,83,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1577123492/MyButterfly_Template1_jvbfv9.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,83,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1577123501/MyButterfly_Template2_e4opaj.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,83,optional_materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1577123508/MyButterfly_Template3_s8podf.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,83,introduction,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1541529041/Journey_Butterflies-The_Butterfly.story.UPDATED_itkfoe.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
Workshop,91,materials,https://res.cloudinary.com/a-window-between-worlds/image/upload/v1681265356/Feather.pdf,https://res.cloudinary.com/,updated,,/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6NzU5NiwicHVyIjoiYmxvYl9pZCJ9fQ==--991022b02b7747e603e7dc6cdff11f1f939fbe52/res.cloudinary.com
